epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,928.654,1.67211,1.4882,1.55518,0.90673,0.86323,0.90832,0.41787,1.81745,0.86759,1.46248,0.003332,0.003332,0.003332
2,2073.14,1.58435,1.0898,1.39864,0.90977,0.8868,0.92076,0.44023,1.75465,0.83044,1.42523,0.00653336,0.00653336,0.00653336
3,3215.17,1.59639,1.09931,1.41458,0.90639,0.88644,0.92403,0.45002,1.7435,0.81313,1.43002,0.00960272,0.00960272,0.00960272
4,4353.19,1.58559,1.06181,1.4314,0.92281,0.91078,0.93862,0.46531,1.72059,0.74939,1.43266,0.009406,0.009406,0.009406
5,5489.7,1.56135,1.00419,1.42804,0.92198,0.91791,0.93961,0.47274,1.69571,0.72713,1.42246,0.009208,0.009208,0.009208
6,6626.82,1.54981,0.97805,1.42796,0.92289,0.92384,0.94144,0.47588,1.69123,0.72168,1.42232,0.00901,0.00901,0.00901
7,7762.15,1.54395,0.96221,1.42878,0.92087,0.92376,0.94098,0.47623,1.69159,0.71829,1.42266,0.008812,0.008812,0.008812
8,8896.42,1.54006,0.94728,1.43224,0.9228,0.92649,0.94239,0.4775,1.68864,0.71524,1.42245,0.008614,0.008614,0.008614
9,10030.5,1.5381,0.93728,1.43806,0.9235,0.92675,0.94247,0.47844,1.68757,0.7129,1.4236,0.008416,0.008416,0.008416
10,11165.6,1.53414,0.92909,1.43646,0.92486,0.92673,0.94272,0.47869,1.68879,0.71139,1.42501,0.008218,0.008218,0.008218
11,11903.3,1.53165,0.92374,1.43924,0.92543,0.92754,0.9434,0.47952,1.6888,0.71061,1.42568,0.00802,0.00802,0.00802
12,12605.9,1.53114,0.91817,1.44109,0.92469,0.92739,0.94368,0.47905,1.68858,0.70947,1.42664,0.007822,0.007822,0.007822
13,13308.8,1.52742,0.91242,1.43952,0.92624,0.92802,0.94425,0.47974,1.68829,0.70865,1.42715,0.007624,0.007624,0.007624
14,14012,1.52639,0.90676,1.43969,0.92516,0.92782,0.94449,0.47934,1.68864,0.70698,1.42798,0.007426,0.007426,0.007426
15,15434.3,1.52309,0.90353,1.43729,0.9239,0.93054,0.9449,0.4794,1.68882,0.70656,1.42804,0.007228,0.007228,0.007228
16,16992.8,1.5225,0.89767,1.44108,0.92554,0.93117,0.94453,0.47923,1.68837,0.70657,1.42884,0.00703,0.00703,0.00703
17,17695.2,1.51998,0.89304,1.44332,0.92456,0.92876,0.94324,0.47924,1.68728,0.70601,1.42927,0.006832,0.006832,0.006832
18,18397.3,1.51886,0.89027,1.44077,0.92521,0.9275,0.94397,0.47898,1.68702,0.70455,1.4296,0.006634,0.006634,0.006634
19,19100.1,1.51655,0.88737,1.44241,0.92266,0.92829,0.94397,0.47979,1.68634,0.70413,1.42967,0.006436,0.006436,0.006436
20,19802.9,1.51473,0.88069,1.44324,0.92183,0.92853,0.94394,0.47994,1.68745,0.70279,1.42989,0.006238,0.006238,0.006238
21,20506.1,1.51221,0.87727,1.44148,0.92322,0.93049,0.94424,0.48035,1.688,0.70059,1.43052,0.00604,0.00604,0.00604
22,21209.4,1.50965,0.87333,1.43657,0.92273,0.93062,0.94457,0.48044,1.6866,0.69895,1.42932,0.005842,0.005842,0.005842
23,21912.8,1.50805,0.86961,1.43949,0.92238,0.93033,0.9449,0.4818,1.68606,0.69704,1.4294,0.005644,0.005644,0.005644
24,22618.2,1.50469,0.86168,1.43736,0.92331,0.92957,0.94521,0.48156,1.6874,0.69433,1.42995,0.005446,0.005446,0.005446
25,23323.9,1.50339,0.85898,1.43956,0.92291,0.93049,0.94618,0.48242,1.68821,0.6922,1.43132,0.005248,0.005248,0.005248
26,24029.6,1.49996,0.85389,1.43778,0.92501,0.93138,0.94741,0.48269,1.68894,0.68948,1.43162,0.00505,0.00505,0.00505
27,24734.6,1.4971,0.85005,1.43354,0.92446,0.93221,0.94673,0.48204,1.68999,0.68733,1.43192,0.004852,0.004852,0.004852
28,25439.6,1.49417,0.84655,1.42974,0.92413,0.93118,0.94666,0.48257,1.69078,0.68586,1.43219,0.004654,0.004654,0.004654
29,26143.7,1.49098,0.84164,1.43107,0.9243,0.93106,0.94688,0.48293,1.69179,0.68429,1.43304,0.004456,0.004456,0.004456
30,26848.1,1.48693,0.83485,1.42105,0.92424,0.93053,0.94706,0.48317,1.69296,0.68349,1.43335,0.004258,0.004258,0.004258
31,27552.4,1.48365,0.82916,1.42863,0.92661,0.93199,0.94765,0.48245,1.69486,0.68288,1.43461,0.00406,0.00406,0.00406
32,28256.3,1.47683,0.82164,1.42267,0.92504,0.93094,0.9476,0.48189,1.69822,0.68133,1.43633,0.003862,0.003862,0.003862
33,28960.6,1.4724,0.81374,1.4209,0.92486,0.9313,0.9475,0.48126,1.70143,0.67959,1.43839,0.003664,0.003664,0.003664
34,29664.4,1.46762,0.80799,1.42032,0.92556,0.93362,0.94882,0.48038,1.70473,0.67798,1.44029,0.003466,0.003466,0.003466
35,30367.7,1.46161,0.79988,1.40773,0.92333,0.93272,0.94706,0.47923,1.70952,0.67578,1.44296,0.003268,0.003268,0.003268
36,31071.6,1.45514,0.79091,1.40899,0.92335,0.92981,0.94508,0.47781,1.71248,0.67499,1.44444,0.00307,0.00307,0.00307
37,32973.2,1.44785,0.78307,1.40067,0.92449,0.9318,0.94574,0.47629,1.71722,0.67176,1.44726,0.002872,0.002872,0.002872
38,33676.9,1.43714,0.7715,1.39503,0.92402,0.93085,0.94415,0.47502,1.72208,0.67024,1.44979,0.002674,0.002674,0.002674
39,34381.3,1.4288,0.76245,1.38977,0.92391,0.93074,0.94342,0.47352,1.72911,0.66865,1.45375,0.002476,0.002476,0.002476
40,35084.9,1.41628,0.75209,1.37779,0.92362,0.92987,0.94349,0.47209,1.73543,0.66693,1.45779,0.002278,0.002278,0.002278
